Variable,Población
País : Argentina-Año : 2016-Capacidad : 66881,76261
País : Brasil-Año : 2016-Capacidad : 446874,722120
País : Chile-Año : 2016-Capacidad : 43017.2156433476,43228
País : Colombia-Año : 2016-Capacidad : 78420,118532
País : Costa Rica-Año : 2016,
País : El Salvador-Año : 2016-Capacidad : 10109,36824
País : México-Año : 2016,188262
País : República Dominicana-Año : 2016-Capacidad : ,16750
País : Perú-Año : 2016-Capacidad : 35126,82023
País : Puerto Rico-Año : 2016-Capacidad : 14601,11642
País : Uruguay-Año : 2016,10303
País : Venezuela-Año : 2016,ND
País : Argentina-Año : 2017-Capacidad : 72320,85283
País : Brasil-Año : 2017-Capacidad : 430137,722716
País : Chile-Año : 2017-Capacidad : 40377.7120315582,40943
País : Colombia-Año : 2017-Capacidad : 79211,114750
País : Costa Rica-Año : 2017,ND
País : El Salvador-Año : 2017-Capacidad : 10105,39279
País : México-Año : 2017,208343
País : República Dominicana-Año : 2017,26947
País : Perú-Año : 2017-Capacidad : 39158,85811
País : Puerto Rico-Año : 2017-Capacidad : 14240,10734
País : Uruguay-Año : 2017,11005
País : Venezuela-Año : 2017,ND
País : Argentina-Año : 2018-Capacidad : 73914,94883
País : Brasil-Año : 2018-Capacidad : 454833,744216
País : Chile-Año : 2018-Capacidad : 40381.3813813814,40341
País : Colombia-Año : 2018-Capacidad : 80227,118513
País : Costa Rica-Año : 2018,ND
País : El Salvador-Año : 2018-Capacidad : 23430,39642
País : México-Año : 2018,196322
País : República Dominicana-Año : 2018-Capacidad : ,26622
País : Perú-Año : 2018-Capacidad : 39156,90934
País : Puerto Rico-Año : 2018-Capacidad : 11860,9866
País : Uruguay-Año : 2018,10179
País : Venezuela-Año : 2018,ND
País : Argentina-Año : 2019-Capacidad : 77589,100634
País : Brasil-Año : 2019-Capacidad : 442349,755274
País : Chile-Año : 2019-Capacidad : 40440.2697495183,41977
País : Colombia-Año : 2019-Capacidad : 80260,123802
País : Costa Rica-Año : 2019-Capacidad : 12435,16265
País : El Salvador-Año : 2019-Capacidad : 28579,38114
País : México-Año : 2019,202221
País : República Dominicana-Año : 2019-Capacidad : ,27214
País : Perú-Año : 2019-Capacidad : 40137,95548
País : Puerto Rico-Año : 2019-Capacidad : 11985,9177
País : Uruguay-Año : 2019,11027
País : Venezuela-Año : 2019,ND
País : Argentina-Año : 2020-Capacidad : 83076,94944
País : Brasil-Año : 2020-Capacidad : 545060,811707
País : Chile-Año : 2020-Capacidad : 4217.9203539823,3813
País : Colombia-Año : 2020-Capacidad : 80683,96285
País : Costa Rica-Año : 2020-Capacidad : 12714,15486
País : El Salvador-Año : 2020-Capacidad : 30864,37190
País : México-Año : 2020,219730
País : República Dominicana-Año : 2020-Capacidad : ,27592
País : Perú-Año : 2020-Capacidad : 40827,86955
País : Puerto Rico-Año : 2020-Capacidad : 10811,9060
País : Uruguay-Año : 2020,12414
País : Venezuela-Año : 2020,37543
País : Argentina-Año : 2021,101267
País : Brasil-Año : 2021-Capacidad : 573330,833176
País : Chile-Año : 2021-Capacidad : 41756.2028047465,38708
País : Colombia-Año : 2021-Capacidad : 80429,96913
País : Costa Rica-Año : 2021-Capacidad : 13719,14839
País : El Salvador-Año : 2021-Capacidad : 30864,36663
País : México-Año : 2021,220420
País : República Dominicana-Año : 2021-Capacidad : ,ND
País : Perú-Año : 2021-Capacidad : 41123,87245
País : Puerto Rico-Año : 2021-Capacidad : 10527,7504
País : Uruguay-Año : 2021,13693
País : Venezuela-Año : 2021,ND
País : Argentina-Año : 2022,ND
País : Brasil-Año : 2022-Capacidad : 596442,ND
País : Chile-Año : 2022-Capacidad : 41760.2611940299,44767
País : Colombia-Año : 2022-Capacidad : 81175,97860
País : Costa Rica-Año : 2022-Capacidad : 13827,14718
País : El Salvador-Año : 2022,39538
País : México-Año : 2022,229000
País : República Dominicana-Año : 2022,ND
País : Perú-Año : 2022-Capacidad : 41018,89877
País : Puerto Rico-Año : 2022-Capacidad : 10406,7252
País : Uruguay-Año : 2022,ND
País : Venezuela-Año : 2022-Capacidad : 20438,32200
País : Argentina-Año : 2023,ND
País : Brasil-Año : 2023,ND
País : Chile-Año : 2023-Capacidad : 41766.1777394305,48407
País : Colombia-Año : 2023-Capacidad : 81381,98926
País : Costa Rica-Año : 2023-Capacidad : 13737,15141
País : El Salvador-Año : 2023,86287
País : México-Año : 2023,231907
País : República Dominicana-Año : 2023-Capacidad : 15643,25370
País : Perú-Año : 2023,ND
País : Puerto Rico-Año : 2023,ND
País : Uruguay-Año : 2023,ND
País : Venezuela-Año : 2023,ND
